Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE

original	0.9	0.2393	0.0428	0.003	0.0	0.0	0.0	0.2361	0.527	0.0063	0.0004	0.6451	0.0006	0.0	0.5876	0.0007	0.0
original	0.8	0.2636	0.0466	0.0033	0.0	0.0	0.0	0.2607	0.5293	0.01	0.0007	0.647	0.001	0.0	0.5858	0.001	0.0
original	0.7	0.2687	0.0507	0.0036	0.0	0.0	0.0	0.2609	0.5264	0.0132	0.0009	0.6441	0.0013	0.0	0.5905	0.0014	0.0
original	0.6	0.3031	0.0594	0.0042	0.0	0.0	0.0	0.3068	0.5293	0.0158	0.0011	0.6464	0.0015	0.0	0.5829	0.0019	0.0
original	0.5	0.3244	0.0636	0.0045	0.0	0.0	0.0	0.3282	0.528	0.0218	0.0015	0.6446	0.0021	0.0	0.5867	0.0023	0.0
original	0.45	0.3351	0.0645	0.0046	0.0	0.0	0.0	0.3398	0.5289	0.0228	0.0016	0.6459	0.0025	0.0	0.5843	0.0025	0.0
original	0.4	0.3446	0.0671	0.0047	0.0	0.0	0.0	0.3493	0.5268	0.0236	0.0017	0.6413	0.0029	0.0	0.5854	0.0028	0.0
original	0.35	0.3569	0.0625	0.0044	0.0	0.0	0.0	0.367	0.5271	0.0238	0.0017	0.6424	0.003	0.0	0.5867	0.003	0.0
original	0.3	0.3806	0.0647	0.0046	0.0	0.0	0.0	0.3966	0.5287	0.0328	0.0023	0.641	0.0037	0.0	0.5832	0.004	0.0
original	0.25	0.3916	0.0648	0.0046	0.0	0.0	0.0	0.4059	0.5283	0.0369	0.0026	0.6429	0.0042	0.0	0.5772	0.0048	0.0
original	0.2	0.4004	0.0624	0.0044	0.0	0.0	0.0	0.407	0.5248	0.0422	0.003	0.6334	0.0049	0.0	0.583	0.0054	0.0
original	0.1	0.4209	0.0668	0.0047	0.0	0.0	0.0	0.4367	0.5206	0.0558	0.0039	0.6175	0.0086	0.0	0.5748	0.01	0.0
