Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE


original	0.9	0.3114	0.6697	0.0176	0.0025	0.0	0.0	0.0	0.6678	0.6736	0.002	0.0003	0.6747	0.0004	0.0	0.4998	0.0007	0.0
original	0.8	0.3127	0.6704	0.0126	0.0018	0.0	0.0	0.0	0.6693	0.6739	0.0032	0.0004	0.6754	0.0007	0.0	0.4989	0.0009	0.0
original	0.7	0.3111	0.6734	0.0084	0.0012	0.0	0.0	0.0	0.6742	0.6731	0.0036	0.0005	0.6749	0.0008	0.0	0.4996	0.0014	0.0
original	0.6	0.3128	0.6734	0.0066	0.0009	0.0	0.0	0.0	0.6734	0.6731	0.0044	0.0006	0.6757	0.0008	0.0	0.499	0.0015	0.0
original	0.5	0.3124	0.6744	0.0058	0.0008	0.0	0.0	0.0	0.6747	0.672	0.0058	0.0008	0.6738	0.0015	0.0	0.5013	0.0019	0.0
original	0.3	0.3161	0.6729	0.0038	0.0005	0.0	0.0	0.0	0.6736	0.674	0.0088	0.0012	0.6758	0.0022	0.0	0.4986	0.003	0.0
original	0.4	0.3134	0.6748	0.0049	0.0007	0.0	0.0	0.0	0.676	0.6708	0.0073	0.001	0.6713	0.0016	0.0	0.4982	0.0027	0.0
original	0.35	0.316	0.6728	0.0041	0.0006	0.002	0.0	0.0	0.6726	0.674	0.0077	0.0011	0.6773	0.0018	0.0	0.5016	0.0026	0.0
original	0.2	0.3162	0.6735	0.003	0.0004	0.0	0.0	0.0	0.6734	0.6721	0.0121	0.0017	0.6727	0.003	0.0	0.4947	0.0048	0.0
original	0.1	0.3182	0.6727	0.002	0.0003	0.0	0.0	0.0	0.6724	0.678	0.0176	0.0025	0.6811	0.0048	0.0	0.4904	0.0075	0.0
original	0.45	0.3153	0.6724	0.0049	0.0007	0.0	0.0	0.0	0.6726	0.6742	0.006	0.0008	0.6752	0.0014	0.0	0.5007	0.0021	0.0
original	0.25	0.3158	0.6733	0.0037	0.0005	0.0	0.0	0.0	0.673	0.6731	0.0111	0.0016	0.6727	0.0026	0.0	0.499	0.0032	0.0
original	0.05	0.3143	0.6731	0.0012	0.0002	0.0326	0.0001	0.0001	0.6729	0.6757	0.0235	0.0033	0.6746	0.0088	0.0	0.4838	0.0122	0.0




Best	0.5	0.2349	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	60perc_5repeat
Best	0.4	0.2443	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	50perc_10repeat
Best	0.05	0.28	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	40perc_10repeat
Best	0.2	0.2499	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	50perc_10repeat
